lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,w_assemblycenter_lat,w_assemblycenter_lng,m_camp_lat,m_camp_lng
Selma,CA,Manzanar,Manzanar,1,36.5715,-119.6143,36.7333,-118.0667,36.7333,-118.0667
Selma,CA,Fresno,Topaz,1,36.5715,-119.6143,36.7333,-119.7667,39.3833,-112.7167
Seattle,WA,Pomona,Tulelake,1,47.6211,-122.3244,34.05,-117.75,41.8833,-121.3667
Pleasanton,CA,None,Heartmountain,1,37.6663,-121.8805,0.0,0.0,44.5167,-109.05
Seattle,WA,Portland,Tulelake,1,47.6211,-122.3244,45.5167,-122.6667,41.8833,-121.3667
Pittsburg,CA,Fresno,Jerome,1,38.0182,-121.8964,36.7333,-119.7667,33.3833,-91.4667
Seattle,WA,Stockton,Minidoka,1,47.6211,-122.3244,37.95,-121.2833,42.6667,-114.2333
Pittsburg,CA,Manzanar,Manzanar,1,38.0182,-121.8964,36.7333,-118.0667,36.7333,-118.0667
Pittsburg,CA,None,Tulelake,1,38.0182,-121.8964,0.0,0.0,41.8833,-121.3667
Palo Alto,CA,Santa Anita,Tulelake,1,37.3913,-122.1468,34.1333,-118.0333,41.8833,-121.3667
Signal Hill,CA,Merced,Rohwer,1,33.8029,-118.1681,37.3,-120.4667,33.75,-91.2667
Palo Alto,CA,Santa Anita,Rohwer,1,37.3913,-122.1468,34.1333,-118.0333,33.75,-91.2667
Signal Hill,CA,Stockton,Rohwer,1,33.8029,-118.1681,37.95,-121.2833,33.75,-91.2667
Oceanside,CA,Stockton,Rohwer,1,33.2247,-117.3083,37.95,-121.2833,33.75,-91.2667
Ojai,CA,Santa Anita,Heartmountain,1,34.4487,-119.2469,34.1333,-118.0333,44.5167,-109.05
Ojai,CA,Santa Anita,Rohwer,1,34.4487,-119.2469,34.1333,-118.0333,33.75,-91.2667
Sonoma,CA,Fresno,Amache,1,38.2902,-122.4598,36.7333,-119.7667,38.05,-102.3
Soledad,CA,Turlock,Gilariver,1,36.4432,-121.3426,37.4833,-120.8333,32.1667,-111.8667
Port Orchard,WA,Portland,Heartmountain,1,47.5163,-122.661,45.5167,-122.6667,44.5167,-109.05
Soledad,CA,Sacramento (Walerga),Tulelake,1,36.4432,-121.3426,0.0,0.0,41.8833,-121.3667
Omaha,NE,None,Heartmountain,1,41.2627,-96.0522,0.0,0.0,44.5167,-109.05
Soledad,CA,Fresno,Jerome,1,36.4432,-121.3426,36.7333,-119.7667,33.3833,-91.4667
Signal Hill,CA,Turlock,Gilariver,1,33.8029,-118.1681,37.4833,-120.8333,32.1667,-111.8667
Orange,CA,Fresno,Jerome,1,33.8038,-117.8218,36.7333,-119.7667,33.3833,-91.4667
Orange,CA,None,Poston,1,33.8038,-117.8218,0.0,0.0,34.15,-114.2833
Signal Hill,CA,Santa Anita,Tulelake,1,33.8029,-118.1681,34.1333,-118.0333,41.8833,-121.3667
Signal Hill,CA,None,Jerome,1,33.8029,-118.1681,0.0,0.0,33.3833,-91.4667
Signal Hill,CA,Santa Anita,Topaz,1,33.8029,-118.1681,34.1333,-118.0333,39.3833,-112.7167
Sausalito,CA,Pomona,Heartmountain,1,37.858,-122.4932,34.05,-117.75,44.5167,-109.05
Seattle,WA,Manzanar,Manzanar,1,47.6211,-122.3244,36.7333,-118.0667,36.7333,-118.0667
Signal Hill,CA,Santa Anita,Minidoka,1,33.8029,-118.1681,34.1333,-118.0333,42.6667,-114.2333
Pacific Grove,CA,Salinas,Tulelake,1,36.6192,-121.9255,36.6667,-121.65,41.8833,-121.3667
Palm Springs,CA,Santa Anita,Gilariver,1,33.8017,-116.5382,34.1333,-118.0333,32.1667,-111.8667
Palo Alto,CA,Marysville (Arboga),Tulelake,1,37.3913,-122.1468,0.0,0.0,41.8833,-121.3667
Palo Alto,CA,None,Gilariver,1,37.3913,-122.1468,0.0,0.0,32.1667,-111.8667
Seattle,WA,Mayer,Topaz,1,47.6211,-122.3244,34.3833,-112.2333,39.3833,-112.7167
Seattle,WA,Merced,Amache,1,47.6211,-122.3244,37.3,-120.4667,38.05,-102.3
Seattle,WA,None,Amache,1,47.6211,-122.3244,0.0,0.0,38.05,-102.3
Signal Hill,CA,None,Manzanar,1,33.8029,-118.1681,0.0,0.0,36.7333,-118.0667
Newport Beach,CA,Santa Anita,Heartmountain,1,33.6151,-117.8669,34.1333,-118.0333,44.5167,-109.05
Newport Beach,CA,None,Manzanar,1,33.6151,-117.8669,0.0,0.0,36.7333,-118.0667
Riverside,CA,Santa Anita,Amache,1,33.9381,-117.3948,34.1333,-118.0333,38.05,-102.3
Taft,CA,Fresno,Amache,1,35.1267,-119.4242,36.7333,-119.7667,38.05,-102.3
Tehachapi,CA,Tanforan,Gilariver,1,35.1274,-118.4749,37.6167,-122.4,32.1667,-111.8667
Tehachapi,CA,Stockton,Rohwer,1,35.1274,-118.4749,37.95,-121.2833,33.75,-91.2667
Tehachapi,CA,Puyallup,Minidoka,1,35.1274,-118.4749,47.1833,-122.2833,42.6667,-114.2333
Tehachapi,CA,Portland,Minidoka,1,35.1274,-118.4749,45.5167,-122.6667,42.6667,-114.2333
Salinas,CA,Manzanar,Poston,1,36.6884,-121.6317,36.7333,-118.0667,34.15,-114.2833
Tehachapi,CA,None,Minidoka,1,35.1274,-118.4749,0.0,0.0,42.6667,-114.2333
Tehachapi,CA,None,Gilariver,1,35.1274,-118.4749,0.0,0.0,32.1667,-111.8667
Tehachapi,CA,Manzanar,Manzanar,1,35.1274,-118.4749,36.7333,-118.0667,36.7333,-118.0667
Tehachapi,CA,Fresno,Jerome,1,35.1274,-118.4749,36.7333,-119.7667,33.3833,-91.4667
Sacramento,CA,Tulare,Gilariver,1,38.5667,-121.4683,36.2,-119.3333,32.1667,-111.8667
Taft,CA,Tulare,Gilariver,1,35.1267,-119.4242,36.2,-119.3333,32.1667,-111.8667
Taft,CA,Tanforan,Topaz,1,35.1267,-119.4242,37.6167,-122.4,39.3833,-112.7167
Taft,CA,Stockton,Topaz,1,35.1267,-119.4242,37.95,-121.2833,39.3833,-112.7167
