lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,w_assemblycenter_lat,w_assemblycenter_lng,m_camp_lat,m_camp_lng
Los Angeles,CA,Manzanar,Manzanar,6946,34.1139,-118.4068,36.7333,-118.0667,36.7333,-118.0667
Seattle,WA,Puyallup,Minidoka,5754,47.6211,-122.3244,47.1833,-122.2833,42.6667,-114.2333
Sacramento,CA,Sacramento (Walerga),Tulelake,3209,38.5667,-121.4683,0.0,0.0,41.8833,-121.3667
San Francisco,CA,Tanforan,Topaz,2787,37.7562,-122.443,37.6167,-122.4,39.3833,-112.7167
Los Angeles,CA,Santa Anita,Amache,2588,34.1139,-118.4068,34.1333,-118.0333,38.05,-102.3
Los Angeles,CA,Pomona,Heartmountain,2564,34.1139,-118.4068,34.05,-117.75,44.5167,-109.05
Oakland,CA,Tanforan,Topaz,2536,37.7903,-122.2165,37.6167,-122.4,39.3833,-112.7167
Los Angeles,CA,Santa Anita,Heartmountain,2345,34.1139,-118.4068,34.1333,-118.0333,44.5167,-109.05
Spokane,WA,Portland,Minidoka,2205,47.6671,-117.433,45.5167,-122.6667,42.6667,-114.2333
Los Angeles,CA,Santa Anita,Rohwer,2110,34.1139,-118.4068,34.1333,-118.0333,33.75,-91.2667
Los Angeles,CA,None,Poston,2100,34.1139,-118.4068,0.0,0.0,34.15,-114.2833
Stockton,CA,Stockton,Rohwer,2088,37.9765,-121.3109,37.95,-121.2833,33.75,-91.2667
Fresno,CA,Fresno,Jerome,1459,36.7831,-119.7941,36.7333,-119.7667,33.3833,-91.4667
Renton,WA,Pinedale,Tulelake,1365,47.4784,-122.1919,36.84,-119.8,41.8833,-121.3667
Salinas,CA,Salinas,Poston,1306,36.6884,-121.6317,36.6667,-121.65,34.15,-114.2833
Selma,CA,None,Poston,1166,36.5715,-119.6143,0.0,0.0,34.15,-114.2833
Rocklin,CA,Marysville (Arboga),Tulelake,1162,38.8075,-121.2488,0.0,0.0,41.8833,-121.3667
San Joaquin,CA,None,Gilariver,1156,36.6057,-120.1897,0.0,0.0,32.1667,-111.8667
Watsonville,CA,Salinas,Poston,1080,36.9206,-121.7706,36.6667,-121.65,34.15,-114.2833
Los Angeles,CA,Santa Anita,Gilariver,931,34.1139,-118.4068,34.1333,-118.0333,32.1667,-111.8667
Torrance,CA,Santa Anita,Rohwer,898,33.8346,-118.3417,34.1333,-118.0333,33.75,-91.2667
Los Angeles,CA,Santa Anita,Jerome,885,34.1139,-118.4068,34.1333,-118.0333,33.3833,-91.4667
Lodi,CA,Stockton,Rohwer,882,38.1218,-121.2932,37.95,-121.2833,33.75,-91.2667
Tulare,CA,Tulare,Gilariver,863,36.1996,-119.34,36.2,-119.3333,32.1667,-111.8667
South Gate,CA,Santa Anita,Jerome,848,33.9448,-118.1926,34.1333,-118.0333,33.3833,-91.4667
Sunnyvale,CA,Santa Anita,Heartmountain,837,37.3836,-122.0256,34.1333,-118.0333,44.5167,-109.05
Tacoma,WA,Pinedale,Tulelake,834,47.2431,-122.4531,36.84,-119.8,41.8833,-121.3667
El Centro,CA,None,Poston,832,32.7867,-115.5586,0.0,0.0,34.15,-114.2833
South Gate,CA,Manzanar,Manzanar,823,33.9448,-118.1926,36.7333,-118.0667,36.7333,-118.0667
South Gate,CA,Tulare,Gilariver,791,33.9448,-118.1926,36.2,-119.3333,32.1667,-111.8667
Woodlake,CA,None,Poston,760,36.4124,-119.0999,0.0,0.0,34.15,-114.2833
San Jose,CA,Santa Anita,Heartmountain,756,37.3019,-121.8486,34.1333,-118.0333,44.5167,-109.05
Los Angeles,CA,Turlock,Gilariver,727,34.1139,-118.4068,37.4833,-120.8333,32.1667,-111.8667
Vacaville,CA,Turlock,Gilariver,673,38.359,-121.968,37.4833,-120.8333,32.1667,-111.8667
Torrance,CA,Santa Anita,Jerome,664,33.8346,-118.3417,34.1333,-118.0333,33.3833,-91.4667
San Diego,CA,Santa Anita,Poston,661,32.8312,-117.1225,34.1333,-118.0333,34.15,-114.2833
San Francisco,CA,Pomona,Heartmountain,640,37.7562,-122.443,34.05,-117.75,44.5167,-109.05
Lindsay,CA,None,Poston,613,36.2082,-119.0897,0.0,0.0,34.15,-114.2833
Whittier,CA,Santa Anita,Rohwer,595,33.9678,-118.0188,34.1333,-118.0333,33.75,-91.2667
Tulare,CA,None,Poston,587,36.1996,-119.34,0.0,0.0,34.15,-114.2833
Isleton,CA,Fresno,Jerome,562,38.1617,-121.6051,36.7333,-119.7667,33.3833,-91.4667
Isleton,CA,Sacramento (Walerga),Tulelake,552,38.1617,-121.6051,0.0,0.0,41.8833,-121.3667
Torrance,CA,Manzanar,Manzanar,550,33.8346,-118.3417,36.7333,-118.0667,36.7333,-118.0667
Tukwila,WA,Pinedale,Tulelake,549,47.4749,-122.2727,36.84,-119.8,41.8833,-121.3667
Walnut Creek,CA,Turlock,Gilariver,549,37.9024,-122.0398,37.4833,-120.8333,32.1667,-111.8667
Pleasanton,CA,Tanforan,Topaz,543,37.6663,-121.8805,37.6167,-122.4,39.3833,-112.7167
Zillah,WA,Portland,Heartmountain,543,46.4084,-120.2725,45.5167,-122.6667,44.5167,-109.05
San Francisco,CA,Santa Anita,Topaz,539,37.7562,-122.443,34.1333,-118.0333,39.3833,-112.7167
Oceanside,CA,None,Poston,529,33.2247,-117.3083,0.0,0.0,34.15,-114.2833
Westmorland,CA,None,Poston,528,33.0389,-115.6223,0.0,0.0,34.15,-114.2833
Whittier,CA,Tulare,Gilariver,526,33.9678,-118.0188,36.2,-119.3333,32.1667,-111.8667
Selma,CA,None,Gilariver,520,36.5715,-119.6143,0.0,0.0,32.1667,-111.8667
Sacramento,CA,Marysville (Arboga),Tulelake,517,38.5667,-121.4683,0.0,0.0,41.8833,-121.3667
Manteca,CA,Stockton,Rohwer,515,37.7927,-121.2264,37.95,-121.2833,33.75,-91.2667
Santa Ana,CA,None,Poston,514,33.7366,-117.8819,0.0,0.0,34.15,-114.2833
Torrance,CA,Tulare,Gilariver,513,33.8346,-118.3417,36.2,-119.3333,32.1667,-111.8667
San Mateo,CA,Tanforan,Topaz,509,37.5521,-122.3122,37.6167,-122.4,39.3833,-112.7167
Tustin,CA,None,Poston,500,33.7309,-117.8106,0.0,0.0,34.15,-114.2833
Spokane,WA,Pinedale,Tulelake,487,47.6671,-117.433,36.84,-119.8,41.8833,-121.3667
Sacramento,CA,Pinedale,Poston,485,38.5667,-121.4683,36.84,-119.8,34.15,-114.2833
Seattle,WA,Pinedale,Tulelake,480,47.6211,-122.3244,36.84,-119.8,41.8833,-121.3667
Oahu,HI,None,Jerome,439,0.0,0.0,0.0,0.0,33.3833,-91.4667
Stockton,CA,Turlock,Gilariver,431,37.9765,-121.3109,37.4833,-120.8333,32.1667,-111.8667
Marysville,CA,None,Tulelake,429,39.1518,-121.5835,0.0,0.0,41.8833,-121.3667
Santa Paula,CA,Tulare,Gilariver,426,34.3521,-119.0698,36.2,-119.3333,32.1667,-111.8667
Santa Maria,CA,Tulare,Gilariver,416,34.9334,-120.4432,36.2,-119.3333,32.1667,-111.8667
Signal Hill,CA,Santa Anita,Rohwer,414,33.8029,-118.1681,34.1333,-118.0333,33.75,-91.2667
Los Banos,CA,Merced,Amache,408,37.063,-120.8406,37.3,-120.4667,38.05,-102.3
Sacramento,CA,Fresno,Jerome,401,38.5667,-121.4683,36.7333,-119.7667,33.3833,-91.4667
Wilkeson,WA,Puyallup,Minidoka,392,47.1034,-122.0495,47.1833,-122.2833,42.6667,-114.2333
Isleton,CA,Merced,Amache,386,38.1617,-121.6051,37.3,-120.4667,38.05,-102.3
Signal Hill,CA,Pomona,Heartmountain,380,33.8029,-118.1681,34.05,-117.75,44.5167,-109.05
Newport Beach,CA,None,Poston,376,33.6151,-117.8669,0.0,0.0,34.15,-114.2833
San Joaquin,CA,Fresno,Jerome,374,36.6057,-120.1897,36.7333,-119.7667,33.3833,-91.4667
Winters,CA,Merced,Amache,372,38.532,-121.9781,37.3,-120.4667,38.05,-102.3
Isleton,CA,Turlock,Gilariver,360,38.1617,-121.6051,37.4833,-120.8333,32.1667,-111.8667
Torrance,CA,Pomona,Heartmountain,354,33.8346,-118.3417,34.05,-117.75,44.5167,-109.05
Los Angeles,CA,Tulare,Gilariver,352,34.1139,-118.4068,36.2,-119.3333,32.1667,-111.8667
Visalia,CA,Fresno,Jerome,349,36.3276,-119.3269,36.7333,-119.7667,33.3833,-91.4667
Tacoma,WA,Puyallup,Minidoka,349,47.2431,-122.4531,47.1833,-122.2833,42.6667,-114.2333
Taft,CA,None,Poston,342,35.1267,-119.4242,0.0,0.0,34.15,-114.2833
Sonoma,CA,Merced,Amache,332,38.2902,-122.4598,37.3,-120.4667,38.05,-102.3
Turlock,CA,Merced,Amache,332,37.5053,-120.8588,37.3,-120.4667,38.05,-102.3
Spokane,WA,Portland,Tulelake,328,47.6671,-117.433,45.5167,-122.6667,41.8833,-121.3667
Taft,CA,Fresno,Jerome,328,35.1267,-119.4242,36.7333,-119.7667,33.3833,-91.4667
Isleton,CA,Marysville (Arboga),Tulelake,325,38.1617,-121.6051,0.0,0.0,41.8833,-121.3667
Rocklin,CA,None,Tulelake,323,38.8075,-121.2488,0.0,0.0,41.8833,-121.3667
San Joaquin,CA,None,Poston,322,36.6057,-120.1897,0.0,0.0,34.15,-114.2833
Sunnyvale,CA,Salinas,Poston,313,37.3836,-122.0256,36.6667,-121.65,34.15,-114.2833
Los Angeles,CA,None,Gilariver,306,34.1139,-118.4068,0.0,0.0,32.1667,-111.8667
Bakersfield,CA,None,Poston,296,35.3529,-119.0359,0.0,0.0,34.15,-114.2833
Spokane,WA,None,Tulelake,295,47.6671,-117.433,0.0,0.0,41.8833,-121.3667
Santa Barbara,CA,Tulare,Gilariver,291,34.4285,-119.7202,36.2,-119.3333,32.1667,-111.8667
San Jose,CA,Pomona,Heartmountain,287,37.3019,-121.8486,34.05,-117.75,44.5167,-109.05
San Jacinto,CA,None,Poston,270,33.797,-116.9916,0.0,0.0,34.15,-114.2833
Yuba City,CA,Merced,Amache,267,39.1357,-121.6381,37.3,-120.4667,38.05,-102.3
Winters,CA,None,Tulelake,256,38.532,-121.9781,0.0,0.0,41.8833,-121.3667
San Juan,CA,Salinas,Poston,255,0.0,0.0,36.6667,-121.65,34.15,-114.2833
Woodland,CA,Merced,Amache,249,38.6712,-121.75,37.3,-120.4667,38.05,-102.3
Isleton,CA,Manzanar,Manzanar,246,38.1617,-121.6051,36.7333,-118.0667,36.7333,-118.0667
Puyallup,WA,Puyallup,Minidoka,244,47.1794,-122.2902,47.1833,-122.2833,42.6667,-114.2333
West Covina,CA,Pomona,Heartmountain,239,34.0555,-117.9112,34.05,-117.75,44.5167,-109.05
Auburn,CA,None,Tulelake,231,38.895,-121.0778,0.0,0.0,41.8833,-121.3667
Coronada,CA,Santa Anita,Poston,228,0.0,0.0,34.1333,-118.0333,34.15,-114.2833
Port Orchard,WA,Manzanar,Manzanar,221,47.5163,-122.661,36.7333,-118.0667,36.7333,-118.0667
Seattle,WA,Puyallup,Tulelake,219,47.6211,-122.3244,47.1833,-122.2833,41.8833,-121.3667
Los Angeles,CA,Santa Anita,Poston,219,34.1139,-118.4068,34.1333,-118.0333,34.15,-114.2833
Hawaii,HI,None,Jerome,210,0.0,0.0,0.0,0.0,33.3833,-91.4667
Fullerton,CA,None,Poston,209,33.8841,-117.9279,0.0,0.0,34.15,-114.2833
Piedmont,CA,Tanforan,Topaz,205,37.8226,-122.23,37.6167,-122.4,39.3833,-112.7167
Riverside,CA,None,Poston,204,33.9381,-117.3948,0.0,0.0,34.15,-114.2833
Whittier,CA,Pomona,Heartmountain,197,33.9678,-118.0188,34.05,-117.75,44.5167,-109.05
Los Angeles,CA,None,Manzanar,193,34.1139,-118.4068,0.0,0.0,36.7333,-118.0667
Signal Hill,CA,Santa Anita,Jerome,187,33.8029,-118.1681,34.1333,-118.0333,33.3833,-91.4667
Los Angeles,CA,Fresno,Jerome,186,34.1139,-118.4068,36.7333,-119.7667,33.3833,-91.4667
Petaluma,CA,Merced,Amache,184,38.2423,-122.6267,37.3,-120.4667,38.05,-102.3
Modesto,CA,Merced,Amache,183,37.6374,-121.0028,37.3,-120.4667,38.05,-102.3
Tehachapi,CA,None,Poston,181,35.1274,-118.4749,0.0,0.0,34.15,-114.2833
El Cajon,CA,Santa Anita,Poston,178,32.8017,-116.9605,34.1333,-118.0333,34.15,-114.2833
El Cajon,CA,None,Poston,178,32.8017,-116.9605,0.0,0.0,34.15,-114.2833
Isleton,CA,Pinedale,Poston,172,38.1617,-121.6051,36.84,-119.8,34.15,-114.2833
San Leandro,CA,Tanforan,Topaz,170,37.7071,-122.1601,37.6167,-122.4,39.3833,-112.7167
WIlliams,CA,Merced,Amache,169,0.0,0.0,37.3,-120.4667,38.05,-102.3
Oahu,HI,None,Topaz,167,0.0,0.0,0.0,0.0,39.3833,-112.7167
South Gate,CA,Santa Anita,Rohwer,166,33.9448,-118.1926,34.1333,-118.0333,33.75,-91.2667
Arroyo Grande,CA,Tulare,Gilariver,163,35.1241,-120.5845,36.2,-119.3333,32.1667,-111.8667
Hollister,CA,Salinas,Poston,163,36.8563,-121.3981,36.6667,-121.65,34.15,-114.2833
Sacramento,CA,None,Tulelake,162,38.5667,-121.4683,0.0,0.0,41.8833,-121.3667
Stockton,CA,Stockton,Gilariver,162,37.9765,-121.3109,37.95,-121.2833,32.1667,-111.8667
Lawndale,CA,Tanforan,Topaz,162,33.8884,-118.3531,37.6167,-122.4,39.3833,-112.7167
Madera,CA,Fresno,Jerome,155,36.9631,-120.0782,36.7333,-119.7667,33.3833,-91.4667
Fresno,CA,None,Gilariver,151,36.7831,-119.7941,0.0,0.0,32.1667,-111.8667
Palo Alto,CA,Santa Anita,Heartmountain,143,37.3913,-122.1468,34.1333,-118.0333,44.5167,-109.05
Livermore,CA,Tanforan,Topaz,142,37.6862,-121.7608,37.6167,-122.4,39.3833,-112.7167
Lompoc,CA,Tulare,Gilariver,140,34.6618,-120.4714,36.2,-119.3333,32.1667,-111.8667
Whittier,CA,Santa Anita,Jerome,139,33.9678,-118.0188,34.1333,-118.0333,33.3833,-91.4667
Gridley,CA,None,Tulelake,137,39.3622,-121.6971,0.0,0.0,41.8833,-121.3667
Toppenish,WA,Portland,Heartmountain,136,46.3806,-120.3123,45.5167,-122.6667,44.5167,-109.05
City_Unregistered,Not Found,None,Poston,133,0.0,0.0,0.0,0.0,34.15,-114.2833
Maui,HI,Puyallup,Minidoka,131,0.0,0.0,47.1833,-122.2833,42.6667,-114.2333
Signal Hill,CA,Tulare,Gilariver,130,33.8029,-118.1681,36.2,-119.3333,32.1667,-111.8667
Soledad,CA,Salinas,Poston,130,36.4432,-121.3426,36.6667,-121.65,34.15,-114.2833
Riverbank,CA,Merced,Amache,130,37.7268,-120.9402,37.3,-120.4667,38.05,-102.3
Manteca,CA,Manzanar,Manzanar,129,37.7927,-121.2264,36.7333,-118.0667,36.7333,-118.0667
Santa Rosa,CA,Merced,Amache,128,38.4458,-122.7067,37.3,-120.4667,38.05,-102.3
Yakima,WA,Portland,Heartmountain,124,46.5923,-120.5496,45.5167,-122.6667,44.5167,-109.05
Calexico,CA,None,Poston,124,32.6849,-115.4944,0.0,0.0,34.15,-114.2833
Manteca,CA,Turlock,Gilariver,121,37.7927,-121.2264,37.4833,-120.8333,32.1667,-111.8667
Sacramento,CA,Manzanar,Manzanar,121,38.5667,-121.4683,36.7333,-118.0667,36.7333,-118.0667
Winters,CA,Turlock,Gilariver,119,38.532,-121.9781,37.4833,-120.8333,32.1667,-111.8667
San Bernardino,CA,None,Poston,119,34.1417,-117.2946,0.0,0.0,34.15,-114.2833
Santa Clara,CA,Pomona,Heartmountain,118,37.3645,-121.968,34.05,-117.75,44.5167,-109.05
Oakland,CA,Turlock,Gilariver,117,37.7903,-122.2165,37.4833,-120.8333,32.1667,-111.8667
Phoenix,AZ,Mayer,Poston,115,33.5722,-112.0891,34.3833,-112.2333,34.15,-114.2833
South Gate,CA,Santa Anita,Gilariver,113,33.9448,-118.1926,34.1333,-118.0333,32.1667,-111.8667
West Covina,CA,None,Poston,112,34.0555,-117.9112,0.0,0.0,34.15,-114.2833
Lemoore,CA,Fresno,Jerome,111,36.2949,-119.7983,36.7333,-119.7667,33.3833,-91.4667
Stockton,CA,Sacramento (Walerga),Tulelake,110,37.9765,-121.3109,0.0,0.0,41.8833,-121.3667
Oakland,CA,None,Tulelake,108,37.7903,-122.2165,0.0,0.0,41.8833,-121.3667
Whittier,CA,Manzanar,Manzanar,107,33.9678,-118.0188,36.7333,-118.0667,36.7333,-118.0667
Morgan Hill,CA,Santa Anita,Heartmountain,106,37.1326,-121.6417,34.1333,-118.0333,44.5167,-109.05
Manteca,CA,Sacramento (Walerga),Tulelake,105,37.7927,-121.2264,0.0,0.0,41.8833,-121.3667
South Gate,CA,None,Gilariver,101,33.9448,-118.1926,0.0,0.0,32.1667,-111.8667
Sacramento,CA,Merced,Amache,101,38.5667,-121.4683,37.3,-120.4667,38.05,-102.3
Torrance,CA,None,Poston,98,33.8346,-118.3417,0.0,0.0,34.15,-114.2833
Lodi,CA,Sacramento (Walerga),Tulelake,97,38.1218,-121.2932,0.0,0.0,41.8833,-121.3667
Morgan Hill,CA,Pomona,Heartmountain,97,37.1326,-121.6417,34.05,-117.75,44.5167,-109.05
Torrance,CA,None,Gilariver,96,33.8346,-118.3417,0.0,0.0,32.1667,-111.8667
Longview,WA,None,Tulelake,94,46.1461,-122.9629,0.0,0.0,41.8833,-121.3667
Torrance,CA,Santa Anita,Amache,91,33.8346,-118.3417,34.1333,-118.0333,38.05,-102.3
Oakland,CA,None,Gilariver,89,37.7903,-122.2165,0.0,0.0,32.1667,-111.8667
City_Unregistered,Not Found,None,Gilariver,88,0.0,0.0,0.0,0.0,32.1667,-111.8667
Los Angeles,CA,Sacramento (Walerga),Tulelake,88,34.1139,-118.4068,0.0,0.0,41.8833,-121.3667
Palo Alto,CA,Tanforan,Topaz,87,37.3913,-122.1468,37.6167,-122.4,39.3833,-112.7167
Fresno,CA,None,Poston,86,36.7831,-119.7941,0.0,0.0,34.15,-114.2833
Woodlake,CA,Fresno,Jerome,85,36.4124,-119.0999,36.7333,-119.7667,33.3833,-91.4667
Selma,CA,Fresno,Jerome,84,36.5715,-119.6143,36.7333,-119.7667,33.3833,-91.4667
Kauai,HI,None,Jerome,84,0.0,0.0,0.0,0.0,33.3833,-91.4667
West Covina,CA,Santa Anita,Rohwer,83,34.0555,-117.9112,34.1333,-118.0333,33.75,-91.2667
Los Angeles,CA,Santa Anita,Manzanar,83,34.1139,-118.4068,34.1333,-118.0333,36.7333,-118.0667
Tulare,CA,Fresno,Jerome,83,36.1996,-119.34,36.7333,-119.7667,33.3833,-91.4667
San Francisco,CA,Turlock,Gilariver,82,37.7562,-122.443,37.4833,-120.8333,32.1667,-111.8667
San Carlos,CA,Tanforan,Topaz,80,37.4982,-122.268,37.6167,-122.4,39.3833,-112.7167
San Buenaventura,CA,Tulare,Gilariver,78,34.2741,-119.2314,36.2,-119.3333,32.1667,-111.8667
Sunnyvale,CA,Marysville (Arboga),Tulelake,77,37.3836,-122.0256,0.0,0.0,41.8833,-121.3667
City_Unregistered,Not Found,None,Manzanar,77,0.0,0.0,0.0,0.0,36.7333,-118.0667
Los Angeles,CA,None,Tulelake,76,34.1139,-118.4068,0.0,0.0,41.8833,-121.3667
San Francisco,CA,Sacramento (Walerga),Tulelake,76,37.7562,-122.443,0.0,0.0,41.8833,-121.3667
Santa Clara,CA,Santa Anita,Heartmountain,75,37.3645,-121.968,34.1333,-118.0333,44.5167,-109.05
Olympia,WA,None,Tulelake,75,47.0417,-122.8959,0.0,0.0,41.8833,-121.3667
Santa Cruz,CA,Salinas,Poston,74,36.9789,-122.0346,36.6667,-121.65,34.15,-114.2833
San Luis Obisbo,CA,Fresno,Jerome,74,0.0,0.0,36.7333,-119.7667,33.3833,-91.4667
Spokane,WA,Portland,Heartmountain,74,47.6671,-117.433,45.5167,-122.6667,44.5167,-109.05
Needles,CA,None,Poston,73,34.8164,-114.6189,0.0,0.0,34.15,-114.2833
Tempe,AZ,Mayer,Poston,70,33.3881,-111.9318,34.3833,-112.2333,34.15,-114.2833
Maui,HI,None,Jerome,70,0.0,0.0,0.0,0.0,33.3833,-91.4667
San Francisco,CA,Stockton,Rohwer,69,37.7562,-122.443,37.95,-121.2833,33.75,-91.2667
Oakland,CA,Merced,Amache,68,37.7903,-122.2165,37.3,-120.4667,38.05,-102.3
Upland,CA,None,Poston,67,34.1178,-117.6603,0.0,0.0,34.15,-114.2833
Oakland,CA,Pomona,Heartmountain,66,37.7903,-122.2165,34.05,-117.75,44.5167,-109.05
Sunnyvale,CA,Pomona,Heartmountain,65,37.3836,-122.0256,34.05,-117.75,44.5167,-109.05
Arroyo Grande,CA,None,Poston,65,35.1241,-120.5845,0.0,0.0,34.15,-114.2833
San Francisco,CA,None,Tulelake,64,37.7562,-122.443,0.0,0.0,41.8833,-121.3667
Los Angeles,CA,Marysville (Arboga),Tulelake,63,34.1139,-118.4068,0.0,0.0,41.8833,-121.3667
Redlands,CA,None,Poston,63,34.0511,-117.1712,0.0,0.0,34.15,-114.2833
Oakland,CA,Sacramento (Walerga),Tulelake,63,37.7903,-122.2165,0.0,0.0,41.8833,-121.3667
Fresno,CA,Fresno,Gilariver,62,36.7831,-119.7941,36.7333,-119.7667,32.1667,-111.8667
Yacolt,WA,None,Tulelake,62,45.8653,-122.4062,0.0,0.0,41.8833,-121.3667
San Jose,CA,None,Gilariver,61,37.3019,-121.8486,0.0,0.0,32.1667,-111.8667
National City,CA,Santa Anita,Poston,61,32.6654,-117.0983,34.1333,-118.0333,34.15,-114.2833
San Francisco,CA,Merced,Amache,60,37.7562,-122.443,37.3,-120.4667,38.05,-102.3
Oakland,CA,None,Poston,60,37.7903,-122.2165,0.0,0.0,34.15,-114.2833
Los Angeles,CA,Merced,Amache,60,34.1139,-118.4068,37.3,-120.4667,38.05,-102.3
Winters,CA,Sacramento (Walerga),Tulelake,58,38.532,-121.9781,0.0,0.0,41.8833,-121.3667
South Gate,CA,Santa Anita,Heartmountain,58,33.9448,-118.1926,34.1333,-118.0333,44.5167,-109.05
South Gate,CA,Pomona,Heartmountain,57,33.9448,-118.1926,34.05,-117.75,44.5167,-109.05
San Francisco,CA,Marysville (Arboga),Tulelake,57,37.7562,-122.443,0.0,0.0,41.8833,-121.3667
Pittsburg,CA,Tanforan,Topaz,57,38.0182,-121.8964,37.6167,-122.4,39.3833,-112.7167
Whittier,CA,None,Poston,55,33.9678,-118.0188,0.0,0.0,34.15,-114.2833
Lindsay,CA,Fresno,Jerome,55,36.2082,-119.0897,36.7333,-119.7667,33.3833,-91.4667
Richmond,CA,Tanforan,Topaz,55,37.9477,-122.339,37.6167,-122.4,39.3833,-112.7167
Pleasanton,CA,Turlock,Gilariver,54,37.6663,-121.8805,37.4833,-120.8333,32.1667,-111.8667
Oakland,CA,Fresno,Jerome,53,37.7903,-122.2165,36.7333,-119.7667,33.3833,-91.4667
South Gate,CA,None,Poston,52,33.9448,-118.1926,0.0,0.0,34.15,-114.2833
Vancouver,WA,None,Tulelake,51,45.6366,-122.5967,0.0,0.0,41.8833,-121.3667
South Gate,CA,Fresno,Jerome,50,33.9448,-118.1926,36.7333,-119.7667,33.3833,-91.4667
San Francisco,CA,None,Gilariver,50,37.7562,-122.443,0.0,0.0,32.1667,-111.8667
Wilkeson,WA,Pinedale,Tulelake,50,47.1034,-122.0495,36.84,-119.8,41.8833,-121.3667
San Francisco,CA,None,Poston,48,37.7562,-122.443,0.0,0.0,34.15,-114.2833
City_Unregistered,Not Found,None,Tulelake,48,0.0,0.0,0.0,0.0,41.8833,-121.3667
White Salmon,WA,Pinedale,Tulelake,47,45.7283,-121.4856,36.84,-119.8,41.8833,-121.3667
Rialto,CA,None,Poston,47,34.1174,-117.3894,0.0,0.0,34.15,-114.2833
Sausalito,CA,Merced,Amache,47,37.858,-122.4932,37.3,-120.4667,38.05,-102.3
Lawndale,CA,Santa Anita,Rohwer,47,33.8884,-118.3531,34.1333,-118.0333,33.75,-91.2667
San Francisco,CA,Fresno,Jerome,46,37.7562,-122.443,36.7333,-119.7667,33.3833,-91.4667
Whittier,CA,Santa Anita,Heartmountain,46,33.9678,-118.0188,34.1333,-118.0333,44.5167,-109.05
Port Orchard,WA,Pinedale,Tulelake,45,47.5163,-122.661,36.84,-119.8,41.8833,-121.3667
Torrance,CA,Santa Anita,Gilariver,45,33.8346,-118.3417,34.1333,-118.0333,32.1667,-111.8667
Whittier,CA,Santa Anita,Gilariver,44,33.9678,-118.0188,34.1333,-118.0333,32.1667,-111.8667
Willows,CA,Merced,Amache,44,39.5149,-122.1995,37.3,-120.4667,38.05,-102.3
City_Unregistered,Not Found,Tanforan,Topaz,44,0.0,0.0,37.6167,-122.4,39.3833,-112.7167
Salinas,CA,Sacramento (Walerga),Tulelake,43,36.6884,-121.6317,0.0,0.0,41.8833,-121.3667
Whittier,CA,Santa Anita,Amache,43,33.9678,-118.0188,34.1333,-118.0333,38.05,-102.3
San Jose,CA,None,Poston,43,37.3019,-121.8486,0.0,0.0,34.15,-114.2833
Lyman,WA,None,Tulelake,41,48.523,-122.0634,0.0,0.0,41.8833,-121.3667
Salinas,CA,Salinas,Tulelake,41,36.6884,-121.6317,36.6667,-121.65,41.8833,-121.3667
West Covina,CA,Santa Anita,Jerome,40,34.0555,-117.9112,34.1333,-118.0333,33.3833,-91.4667
City_Unregistered,Not Found,Santa Anita,Rohwer,40,0.0,0.0,34.1333,-118.0333,33.75,-91.2667
Morgan Hill,CA,Salinas,Poston,40,37.1326,-121.6417,36.6667,-121.65,34.15,-114.2833
San Luis Obisbo,CA,None,Poston,39,0.0,0.0,0.0,0.0,34.15,-114.2833
West Covina,CA,Manzanar,Manzanar,39,34.0555,-117.9112,36.7333,-118.0667,36.7333,-118.0667
Newport Beach,CA,Manzanar,Manzanar,39,33.6151,-117.8669,36.7333,-118.0667,36.7333,-118.0667
City_Unregistered,Not Found,None,Heartmountain,39,0.0,0.0,0.0,0.0,44.5167,-109.05
Marysville,CA,Merced,Amache,38,39.1518,-121.5835,37.3,-120.4667,38.05,-102.3
Oakland,CA,Stockton,Rohwer,38,37.7903,-122.2165,37.95,-121.2833,33.75,-91.2667
Salinas,CA,Fresno,Jerome,38,36.6884,-121.6317,36.7333,-119.7667,33.3833,-91.4667
Wilkeson,WA,Puyallup,Tulelake,37,47.1034,-122.0495,47.1833,-122.2833,41.8833,-121.3667
Signal Hill,CA,Manzanar,Manzanar,37,33.8029,-118.1681,36.7333,-118.0667,36.7333,-118.0667
Signal Hill,CA,Santa Anita,Gilariver,37,33.8029,-118.1681,34.1333,-118.0333,32.1667,-111.8667
Salinas,CA,None,Gilariver,37,36.6884,-121.6317,0.0,0.0,32.1667,-111.8667
Renton,WA,Puyallup,Minidoka,36,47.4784,-122.1919,47.1833,-122.2833,42.6667,-114.2333
Torrance,CA,Santa Anita,Heartmountain,36,33.8346,-118.3417,34.1333,-118.0333,44.5167,-109.05
Oakland,CA,Santa Anita,Heartmountain,35,37.7903,-122.2165,34.1333,-118.0333,44.5167,-109.05
City_Unregistered,Not Found,None,Minidoka,35,0.0,0.0,0.0,0.0,42.6667,-114.2333
Fillmore,CA,Tulare,Gilariver,35,34.3989,-118.9181,36.2,-119.3333,32.1667,-111.8667
City_Unregistered,Not Found,None,Topaz,34,0.0,0.0,0.0,0.0,39.3833,-112.7167
Pleasanton,CA,None,Tulelake,34,37.6663,-121.8805,0.0,0.0,41.8833,-121.3667
Salinas,CA,None,Poston,34,36.6884,-121.6317,0.0,0.0,34.15,-114.2833
