lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,m_camp_lat,m_camp_lng
North Sacramento,CA,Merced,Amache,1,38.60611,-121.457497,38.05,-102.3
Santa Maria,CA,Tanforan,Topaz,1,34.9334,-120.4432,39.3833,-112.7167
Riverbank,CA,Fresno,Jerome,1,37.7268,-120.9402,33.3833,-91.4667
Spokane,WA,None,Manzanar,1,47.6671,-117.433,36.7333,-118.0667
Spokane,WA,None,Heartmountain,1,47.6671,-117.433,44.5167,-109.05
Spokane,WA,Merced,Amache,1,47.6671,-117.433,38.05,-102.3
Spokane,WA,Mayer,Topaz,1,47.6671,-117.433,39.3833,-112.7167
South San Francisco,CA,Tanforan,Topaz,1,37.6536,-122.4197,39.3833,-112.7167
South San Francisco,CA,None,Poston,1,37.6536,-122.4197,34.15,-114.2833
South Gate,CA,Turlock,Jerome,1,33.9448,-118.1926,33.3833,-91.4667
North Sacramento,CA,Pinedale,Poston,1,38.60611,-121.457497,34.15,-114.2833
South Gate,CA,Tulare,Tulelake,1,33.9448,-118.1926,41.8833,-121.3667
South Gate,CA,Tulare,Minidoka,1,33.9448,-118.1926,42.6667,-114.2333
North Sacramento,CA,Santa Anita,Jerome,1,38.60611,-121.457497,33.3833,-91.4667
Oahu,HI,Fresno,Jerome,1,21.473,-157.9868,33.3833,-91.4667
Oahu,HI,Marysville (Arboga),Tulelake,1,21.473,-157.9868,41.8833,-121.3667
Rialto,CA,Fresno,Rohwer,1,34.1174,-117.3894,33.75,-91.2667
South Gate,CA,Santa Anita,Minidoka,1,33.9448,-118.1926,42.6667,-114.2333
Oahu,HI,None,Minidoka,1,21.473,-157.9868,42.6667,-114.2333
Oahu,HI,None,Tulelake,1,21.473,-157.9868,41.8833,-121.3667
Oahu,HI,Pinedale,Tulelake,1,21.473,-157.9868,41.8833,-121.3667
Oahu,HI,Pomona,Heartmountain,1,21.473,-157.9868,44.5167,-109.05
Santa Paula,CA,Sacramento (Walerga),Tulelake,1,34.3521,-119.0698,41.8833,-121.3667
South Gate,CA,Salinas,Poston,1,33.9448,-118.1926,34.15,-114.2833
Oahu,HI,Sacramento (Walerga),Tulelake,1,21.473,-157.9868,41.8833,-121.3667
Puyallup,WA,None,Tulelake,1,47.1794,-122.2902,41.8833,-121.3667
Oceanside,CA,Santa Anita,Heartmountain,1,33.2247,-117.3083,44.5167,-109.05
Oceanside,CA,Santa Anita,Jerome,1,33.2247,-117.3083,33.3833,-91.4667
Poughkeepsie,NY,Manzanar,Manzanar,1,41.6949,-73.921,36.7333,-118.0667
Signal Hill,CA,Fresno,Jerome,1,33.8029,-118.1681,33.3833,-91.4667
Palo Alto,CA,Tulare,Gilariver,1,37.3913,-122.1468,32.1667,-111.8667
Shelly,ID,None,Topaz,1,43.379444,-112.123889,39.3833,-112.7167
Pasco,WA,None,Minidoka,1,46.2506,-119.1304,42.6667,-114.2333
Pasco,WA,Portland,Minidoka,1,46.2506,-119.1304,42.6667,-114.2333
Pocatello,ID,Santa Anita,Rohwer,1,42.8724,-112.4646,33.75,-91.2667
Pleasanton,CA,Stockton,Rohwer,1,37.6663,-121.8805,33.75,-91.2667
Selma,CA,Santa Anita,Gilariver,1,36.5715,-119.6143,32.1667,-111.8667
Selma,CA,Salinas,Poston,1,36.5715,-119.6143,34.15,-114.2833
Selma,CA,Sacramento (Walerga),Tulelake,1,36.5715,-119.6143,41.8833,-121.3667
Selma,CA,Pomona,Heartmountain,1,36.5715,-119.6143,44.5167,-109.05
Paso Robles,CA,Santa Anita,Heartmountain,1,35.626667,-120.69,44.5167,-109.05
Selma,CA,None,Topaz,1,36.5715,-119.6143,39.3833,-112.7167
Paso Robles,CA,Tulare,Gilariver,1,35.626667,-120.69,32.1667,-111.8667
Pleasanton,CA,Pomona,Heartmountain,1,37.6663,-121.8805,44.5167,-109.05
Philadelphia,PA,None,Topaz,1,40.0077,-75.1339,39.3833,-112.7167
Phoenix,AZ,Salinas,Poston,1,33.5722,-112.0891,34.15,-114.2833
Seattle,WA,Pomona,Heartmountain,1,47.6211,-122.3244,44.5167,-109.05
Selma,CA,Manzanar,Manzanar,1,36.5715,-119.6143,36.7333,-118.0667
Selma,CA,Fresno,Topaz,1,36.5715,-119.6143,39.3833,-112.7167
Seattle,WA,Pomona,Tulelake,1,47.6211,-122.3244,41.8833,-121.3667
Pleasanton,CA,None,Heartmountain,1,37.6663,-121.8805,44.5167,-109.05
Seattle,WA,Portland,Tulelake,1,47.6211,-122.3244,41.8833,-121.3667
Pittsburg,CA,Fresno,Jerome,1,38.0182,-121.8964,33.3833,-91.4667
Seattle,WA,Stockton,Minidoka,1,47.6211,-122.3244,42.6667,-114.2333
Pittsburg,CA,Manzanar,Manzanar,1,38.0182,-121.8964,36.7333,-118.0667
Pittsburg,CA,None,Tulelake,1,38.0182,-121.8964,41.8833,-121.3667
Palo Alto,CA,Santa Anita,Tulelake,1,37.3913,-122.1468,41.8833,-121.3667
Signal Hill,CA,Merced,Rohwer,1,33.8029,-118.1681,33.75,-91.2667
Palo Alto,CA,Santa Anita,Rohwer,1,37.3913,-122.1468,33.75,-91.2667
Signal Hill,CA,Stockton,Rohwer,1,33.8029,-118.1681,33.75,-91.2667
Oceanside,CA,Stockton,Rohwer,1,33.2247,-117.3083,33.75,-91.2667
Ojai,CA,Santa Anita,Heartmountain,1,34.4487,-119.2469,44.5167,-109.05
Ojai,CA,Santa Anita,Rohwer,1,34.4487,-119.2469,33.75,-91.2667
Sonoma,CA,Fresno,Amache,1,38.2902,-122.4598,38.05,-102.3
Soledad,CA,Turlock,Gilariver,1,36.4432,-121.3426,32.1667,-111.8667
Port Orchard,WA,Portland,Heartmountain,1,47.5163,-122.661,44.5167,-109.05
Soledad,CA,Sacramento (Walerga),Tulelake,1,36.4432,-121.3426,41.8833,-121.3667
Omaha,NE,None,Heartmountain,1,41.2627,-96.0522,44.5167,-109.05
Soledad,CA,Fresno,Jerome,1,36.4432,-121.3426,33.3833,-91.4667
